date,session_id,user_id,source,medium,device_category,country,sessions,pageviews,bounce,session_duration_sec,transactions,revenue
2024-02-29,S100245,U6586,linkedin,email,desktop,India,1,9,0,522,1,648.36
2024-04-22,S100246,U7771,google,none,desktop,Canada,1,7,1,980,0,0.0
2024-01-02,S100247,U1142,direct,email,mobile,United Kingdom,1,1,1,1659,2,164.72
2024-05-08,S100248,U6320,email,email,mobile,United Kingdom,1,3,0,1639,1,132.11
2024-02-17,S100249,U3761,bing,none,tablet,Australia,1,9,1,157,1,675.5
2024-05-19,S100250,U4435,linkedin,none,desktop,United States,1,4,1,103,1,26.29
2024-02-06,S100251,U7622,instagram,email,desktop,India,1,4,0,1529,1,251.68
2024-06-08,S100252,U5660,instagram,referral,desktop,United Kingdom,1,10,0,481,0,0.0
2024-01-09,S100253,U7614,bing,none,mobile,India,1,6,0,1515,1,385.93
2024-04-08,S100254,U3431,instagram,organic,mobile,United States,1,3,1,467,0,0.0
2024-05-26,S100255,U6811,linkedin,cpc,desktop,India,1,3,1,1309,0,0.0
2024-02-17,S100256,U5512,linkedin,referral,desktop,United Kingdom,1,9,0,477,0,0.0
2024-05-10,S100257,U2848,bing,none,mobile,Australia,1,13,0,1155,2,293.33
2024-05-27,S100258,U7451,linkedin,none,mobile,Canada,1,5,1,588,0,0.0
2024-05-31,S100259,U3696,email,referral,desktop,Canada,1,14,1,1730,1,141.32
2024-02-23,S100260,U2717,google,cpc,mobile,United Kingdom,1,7,0,999,0,0.0
2024-04-29,S100261,U6486,direct,email,desktop,United Kingdom,1,5,0,966,0,0.0
2024-06-09,S100262,U4072,email,organic,mobile,United States,1,6,1,312,0,0.0
2024-05-31,S100263,U2067,email,none,mobile,India,1,8,0,789,0,0.0
2024-04-25,S100264,U3786,instagram,cpc,mobile,United States,1,8,0,1257,2,95.6
2024-03-15,S100265,U6962,google,organic,desktop,Canada,1,2,1,115,0,0.0
2024-04-22,S100266,U6217,bing,referral,desktop,India,1,11,0,1377,0,0.0
2024-06-12,S100267,U4791,instagram,none,mobile,United States,1,9,1,193,0,0.0
2024-06-14,S100268,U2288,google,email,desktop,Canada,1,10,0,906,1,95.65
2024-04-13,S100269,U4871,linkedin,referral,mobile,India,1,12,0,1110,1,92.2
2024-03-24,S100270,U2806,bing,none,tablet,Australia,1,12,0,235,0,0.0
2024-04-21,S100271,U7283,bing,cpc,tablet,Australia,1,12,0,1482,0,0.0
2024-04-08,S100272,U2504,instagram,organic,desktop,United States,1,14,0,177,0,0.0
2024-06-01,S100273,U4308,linkedin,organic,mobile,United Kingdom,1,6,0,1354,0,0.0
2024-04-02,S100274,U6112,instagram,none,tablet,India,1,7,0,820,0,0.0
2024-05-25,S100275,U6048,facebook,referral,desktop,United States,1,3,1,1343,2,156.14
2024-05-07,S100276,U3951,google,email,desktop,United Kingdom,1,4,0,1074,1,191.48
2024-04-19,S100277,U1071,facebook,cpc,desktop,United Kingdom,1,6,0,976,0,0.0
2024-03-22,S100278,U2690,google,none,desktop,India,1,7,0,1190,2,234.72
2024-02-23,S100279,U6387,direct,cpc,mobile,India,1,6,0,1422,0,0.0
2024-06-11,S100280,U2344,email,organic,mobile,United Kingdom,1,5,0,1575,0,0.0
2024-06-17,S100281,U7250,bing,email,mobile,Canada,1,14,0,586,0,0.0
2024-06-09,S100282,U4303,instagram,cpc,mobile,United States,1,12,1,1489,0,0.0
2024-03-08,S100283,U4113,direct,none,mobile,India,1,2,0,790,0,0.0
2024-02-02,S100284,U1882,direct,email,mobile,United Kingdom,1,12,0,59,0,0.0
2024-05-21,S100285,U5234,bing,referral,desktop,Canada,1,7,0,1501,0,0.0
2024-01-21,S100286,U3662,bing,none,mobile,Australia,1,5,0,254,1,164.98
2024-02-17,S100287,U7416,google,cpc,desktop,United Kingdom,1,12,0,1439,0,0.0
2024-05-27,S100288,U2504,facebook,email,mobile,Canada,1,9,1,1742,0,0.0
2024-05-07,S100289,U3463,linkedin,none,desktop,Australia,1,13,0,1661,0,0.0
2024-05-15,S100290,U3553,google,email,mobile,Canada,1,11,0,458,0,0.0
2024-05-14,S100291,U1732,linkedin,email,mobile,India,1,4,0,558,1,95.61
2024-05-24,S100292,U2748,direct,email,desktop,United Kingdom,1,14,1,1081,0,0.0
2024-05-07,S100293,U4924,linkedin,cpc,mobile,Australia,1,10,0,155,0,0.0
2024-02-02,S100294,U1423,facebook,none,mobile,Canada,1,12,0,842,0,0.0
2024-06-24,S100295,U4478,google,organic,desktop,Australia,1,2,0,528,2,233.44
2024-04-24,S100296,U2591,bing,organic,desktop,United States,1,7,1,1240,0,0.0
2024-04-28,S100297,U5485,facebook,cpc,mobile,United Kingdom,1,7,0,683,1,383.85
2024-01-22,S100298,U5437,email,cpc,desktop,India,1,1,0,1425,0,0.0
2024-06-06,S100299,U6041,facebook,email,desktop,Australia,1,11,1,167,0,0.0
2024-02-07,S100300,U5709,email,none,desktop,Canada,1,14,0,1023,0,0.0
2024-04-18,S100301,U1492,google,none,desktop,Australia,1,13,0,1390,1,196.58
2024-02-20,S100302,U1191,bing,referral,desktop,Canada,1,5,0,770,0,0.0
2024-01-08,S100303,U1498,facebook,referral,desktop,Australia,1,3,1,243,0,0.0
2024-01-27,S100304,U5917,email,organic,desktop,India,1,9,0,320,0,0.0
2024-01-27,S100305,U6831,bing,referral,desktop,India,1,9,0,973,0,0.0
2024-01-21,S100306,U2256,instagram,referral,mobile,United Kingdom,1,7,1,1623,1,146.16
2024-01-30,S100307,U2968,instagram,organic,tablet,India,1,12,0,400,0,0.0
2024-04-06,S100308,U5322,instagram,organic,desktop,Australia,1,9,0,559,1,29.48
2024-01-28,S100309,U6490,linkedin,referral,mobile,Australia,1,12,1,721,0,0.0
2024-04-20,S100310,U3186,facebook,none,desktop,India,1,2,0,1723,0,0.0
2024-03-01,S100311,U7999,google,referral,mobile,United States,1,11,0,578,2,237.67
2024-02-17,S100312,U1816,google,email,desktop,Australia,1,10,0,1349,0,0.0
2024-05-26,S100313,U4220,linkedin,email,mobile,United Kingdom,1,8,0,803,0,0.0
2024-01-04,S100314,U2473,google,email,mobile,United States,1,10,1,1644,0,0.0
2024-02-04,S100315,U2086,email,cpc,desktop,India,1,10,0,1046,0,0.0
2024-02-18,S100316,U5199,instagram,email,desktop,Canada,1,10,0,448,0,0.0
2024-01-17,S100317,U2874,facebook,none,mobile,Australia,1,13,1,1719,0,0.0
2024-06-20,S100318,U1870,google,cpc,desktop,Canada,1,1,0,390,0,0.0
